NAMA SATUAN PENDIDIKAN;BAHASA INDONESIA;BAHASA INGGRIS;MATEMATIKA;FISIKA;KIMIA;BIOLOGI;
SMA HANG TUAH I;72,27;56,99;36,92;40,3;42,27;48,23;
SMA ISLAM HARAPAN IBU;75,79;76,21;43,03;35;43,75;64,33;
SMA MUHAMMADIYAH 18;72,33;58,58;36,41;37,5;45,63;47,5;
SMAK TIRTA MARTA BPK PENABUR;83,78;90,67;62,22;80,63;74;67,87;
SMA NEGERI 63;83,26;78,66;52,78;58,5;62,88;66,79;
SMA NEGERI 86;80,76;74,39;44,68;50,17;61,32;58,41;
SMA NEGERI 87;83,41;79,5;51,16;62,85;72,5;61,52;
SMA NEGERI 90;84,56;81,4;61,65;66,75;66,76;69,3;
SMA KARTIKA X -1;72,06;60,25;36,81;35,83;60,42;50,69;
SMA NEGERI 34;89,44;90,02;77,05;82,43;83,1;80,36;
SMA NEGERI 66;85,5;83,59;58,2;63,18;65,89;72,93;
SMA ISLAM AL-IZHAR PONDOK LABU;82,79;90,69;55,58;52,18;60,76;72,06;
SMA BAKTI IDHATA;75,93;60,9;36,88;39;46,67;59,02;
SMA CENDRAWASIH;75,73;62,59;35,2;46,67;59,17;53,9;
SMA CHARITAS;82,89;83,57;52,87;55,4;59,69;66,43;
SMA DARUL MAARIF;70,29;54,71;35;52,32;52,32;49,29;
SMA KELUARGA WIDURI;75,96;60,88;33,75;33,93;39,72;49,69;
SMA PGRI 3;75,61;56,47;36,01;38,55;43,83;48,03;
SMA SERUNI DON BOSCO;78,44;89;50,42;56,56;60;74,69;
SMA NEGERI  6;83,87;85,1;55,62;59,67;55,78;67,78;
SMA NEGERI 46;81,85;71,68;44,84;46,42;57,12;58,85;
SMA NEGERI 70;84,59;89,16;58,42;55,71;64,15;70,76;
SMA NEGERI 82;80,98;81,26;46,57;54,06;46,75;57,89;
SMA DHARMA KARYA;74,71;60,68;35,99;40,14;37,5;49,03;
SMA GITA KIRTTI 3;73,56;56,4;31,67;34,81;37,5;49,58;
SMA ISLAM AL KHOLIDIN;65;40,75;30,63;30;44,41;42,86;
SMA ISLAM AL-AZHAR 1;85,92;91,25;73,56;87,86;70,47;78,81;
SMA MUHAMMADIYAH 3;73,4;64,75;35,5;36,25;36,67;48,75;
SMA PANGUDI LUHUR;79,91;81,07;40;56,5;43,93;52,81;
SMA PSKD IV;74,4;64,93;35,5;39,38;46;55,42;
SMA TARAKANITA 1;84,88;84,53;58,09;63,86;71,67;71,91;
SMA TRIGUNA;73;56,53;34,41;39,17;40,94;45;
SMA NEGERI 3;83,5;84,65;54,86;52,14;67,34;65,2;
SMA NEGERI 8;87,52;91,72;83,99;81,54;84,46;84,73;
SMA NEGERI 26;85,94;87,87;64,86;60,79;77,05;71,75;
SMA NEGERI 37;83,73;76,77;49,14;65,09;68,33;62,93;
SMA NEGERI 43;80,87;75,15;46,88;49,2;56,48;60,33;
SMA NEGERI 79;80,25;68,38;42,5;46,55;54,34;55,92;
SMA 17 AGUSTUS 1945;64,98;55,6;31,61;37,81;39,44;43,13;
SMA ISLAM AS-SYAFIIYAH 01;70;48,88;32,85;39,17;43;45,34;
SMA ASISI;78;82,4;43,83;42,08;55;60,5;
SMA DEWI SARTIKA;73,06;56,24;36,91;33,5;37,5;50,25;
SMA MUHAMMADIYAH 5;71,97;59,42;35,49;34,89;44,72;46,54;
SMA YASPORBI;74,71;79,65;42,79;40;61,79;54,17;
SMA YMIK II;66,81;48,68;31,7;41,07;37,81;41,25;
SMA NEGERI 60;83,42;77,69;52,48;60,92;62,5;63,21;
SMA 28 OKTOBER 1928;75,14;52;36,25;52,15;47,5;44,25;
SMA NEGERI 28;87,82;90,7;76,47;84,18;86,3;81,17;
SMA NEGERI 38;85,6;87,18;66,37;70,24;73,42;75,36;
SMA NEGERI 49;86,1;82,65;60,85;66,02;66,11;69,11;
SMA NEGERI 55;84,25;84,9;65,78;62,5;70,17;75,12;
SMA NEGERI 97;83,7;78,72;51,3;53,64;63,08;63,93;
SMA NEGERI 109;85;78,18;59,19;67,7;58,25;69,32;
SMA NEGERI RAGUNAN;61,76;52,53;34,26;49;49;47,43;
SMA BOROBUDUR;77,67;68,33;35;41,88;55,88;43,75;
SMA BUNDA KANDUNG;72,17;47,44;35,28;45;43,75;48,02;
SMA FATAHILLAH;71,5;48,7;37,5;40;48,33;47,97;
SMA GONZAGA;84,74;90,21;67,36;73,22;79,35;80,56;
SMA ISLAM AL-AZHAR 2;79,49;78,95;43,91;46,5;45,83;61,97;
SMA KEMALA BHAYANGKARI 1;74,53;59,89;39,54;41,04;47,64;48,09;
SMA KARTIKA VIII-1;74,07;57,69;37,29;40,54;45,96;49,3;
SMA KHARISMAWITA;74,6;53,4;34,5;45;39,38;59;
SMA PERGURUAN CIKINI;70,92;60,69;33,56;36,67;36,67;46,25;
SMA PERGURUAN RAKYAT 1;73,45;55,27;36,29;32,86;51,09;52,29;
SMA SULUH;81,07;65,23;47,1;55,19;45;62,07;
SMA SUMBANGSIH;75,05;71,1;41,61;51,5;40,54;57,22;
SMA YAPERJASA;73,16;52,71;30,81;31;35;49,69;
SMA ISLAM AL-AZHAR 3;81,04;86,87;49,59;59;63,61;63,03;
SMA BAKTI MULYA 400;77,45;79,39;43,11;47,5;44,46;49,44;
SMA LABSCHOOL KEBAYORAN;87,27;92,43;86,65;86,81;82,69;85,71;
SMA CITA BUANA;75,33;91,6;54;70;62,5;68,61;
SMA BINA NUSANTARA;69,89;91,94;52,5;50,23;55;67,14;
SMA AVICENNA JAGAKARSA;81,5;81,42;48,54;55;65,63;72,32;
SMA DARUNNAJAH;75,76;64,89;35,78;39,06;44,03;54,48;
SMA INTERNATIONAL ISLAM HIGH SCHOOL;78,05;77,79;40,26;46,35;55,83;51,63;
SMA HIGH SCOPE INDONESIA;79,32;90,84;52,04;51,05;49,38;61,33;
SMA LENTERA INDONESIA;72,29;88,86;59,29;54,38;70,65;72,5;
SMA GARUDA CENDEKIA;84,64;89,18;55,91;49,04;41,67;73,75;
RAFFLES CHRISTIAN SCHOOL;73,06;92,47;52,79;46,88;47,5;76,67;
SMA MENTARI INTERCULTURAL SCHOOL JAKARTA;77,33;93,22;48,89;50;50,83;66;
SMA AUSTRALIAN INDEPENDENT SCHOOL;52;80,5;35;40;51,72;38,75;
SMA JAKARTA INTERCULTURAL SCHOOL;49,44;87;47,36;44,5;20;55,71;
SMA ISLAM AL JABR;84,36;87,45;63,64;56,25;75;66,25;
MA NEGERI 4 JAKARTA;81,44;77,9;52,81;58,52;65,97;65,57;
MA ANNAJAH;73,2;63,66;41,64;37,81;45,31;48,03;
MA MANARATUL ISLAM;69,71;51,33;32,9;33,06;42,81;45,42;
MA NEGERI 7 JAKARTA;81,96;67,08;48,39;52,5;53,13;65,93;
MA SAADATUDDARAIN;66,57;50,8;35,86;36,88;42,5;47,92;
MA NURUSSAADAH;71,8;52,8;34,63;37,5;59,17;45;
MA NEGERI 11 JAKARTA;80,06;61,83;39,3;43,59;55,91;58,3;
MA AL-KHAIRIYAH JAKARTA SELATAN;67,03;51,13;32,63;37,5;32,5;44,31;
MA AS-SYAFIIYAH 01;67,76;48,12;32,27;48,69;48,69;46,59;
MA MIFTAHUL UMAM;67,78;49,78;34,72;32,5;42,5;40,45;
MA NEGERI 13 JAKARTA;81,34;73,4;45,95;49,69;59,38;61,53;
MA.PEMBANGUNAN UIN;81,11;79,91;44,67;57,5;51,88;64,06;
